ID,Gender,Age,UnemployedStatus,YearsOfEmployed,OccupationType,IncomeType,Income,EducationLevel,Dwelling,OwnCar,OwnProperty,FamilyStatus,NumOfChildren,NumOfFamilyMember,AccountActivateLength,WorkPhone,Phone,Email,Risk_TargetVariable
5037048,1,44.54848491071001,0,8.517628698741246,Core staff,Working,135000.0,Secondary / secondary special,With parents,1,1,Married,0,2,-17,0,0,0,0
5044630,0,27.734997980793583,0,4.520284468538026,Accountants,Commercial associate,135000.0,Higher education,House / apartment,1,0,Single / not married,1,2,-1,0,0,0,0
5079079,0,35.10270573659965,0,15.488339938533988,Laborers,Commercial associate,180000.0,Secondary / secondary special,House / apartment,0,1,Married,2,4,-38,0,0,0,0
5112872,0,57.30165574926247,0,5.601757736298486,Managers,Commercial associate,360000.0,Higher education,House / apartment,1,1,Single / not married,0,1,-11,0,0,1,0
5105858,0,44.373258862262745,0,1.4100221085990814,Other,Working,270000.0,Secondary / secondary special,House / apartment,0,0,Separated,0,1,-41,0,1,0,0
5100411,0,36.28000574960471,0,10.51082499982888,Accountants,Working,135000.0,Secondary / secondary special,House / apartment,1,1,Married,0,2,-1,1,0,0,0
5022817,1,47.26175075463562,0,4.4271956303004165,Core staff,Working,202500.0,Secondary / secondary special,House / apartment,1,1,Married,0,2,-16,0,0,0,0
5009811,0,32.34289547355524,0,8.942004284824465,Sales staff,Working,202500.0,Secondary / secondary special,House / apartment,0,0,Married,1,3,-21,1,1,0,0
5113922,0,64.28058071007618,1,0.0,Other,Pensioner,90000.0,Secondary / secondary special,Municipal apartment,0,0,Single / not married,0,1,-50,0,0,0,0
5021541,0,25.489914235063004,0,4.594207957726716,Other,Working,306000.0,Higher education,House / apartment,1,0,Married,1,3,-13,0,0,0,0
5061509,0,58.76643599800133,1,0.0,Other,Pensioner,202500.0,Secondary / secondary special,House / apartment,0,1,Married,0,2,-15,0,0,0,0
5028439,1,42.67301861092288,0,9.13639568232065,Managers,Working,315000.0,Higher education,House / apartment,1,1,Married,0,2,-6,0,0,0,0
5096280,0,49.742294502967205,0,10.762712444471823,Other,Commercial associate,360000.0,Higher education,House / apartment,0,0,Separated,0,1,-13,1,1,0,0
5024159,0,26.516629362683695,0,3.006221893673381,Sales staff,Working,202500.0,Secondary / secondary special,House / apartment,0,1,Married,1,3,-6,0,0,0,0
5091895,1,27.90474821522687,0,4.380651211181612,Sales staff,Commercial associate,157500.0,Higher education,House / apartment,0,0,Single / not married,0,1,-16,0,0,0,0
5009969,0,56.52135225227075,0,10.60391383806649,Medicine staff,State servant,180000.0,Secondary / secondary special,House / apartment,1,1,Married,0,2,-41,0,0,0,0
5046544,0,41.29585138640766,0,2.319007234919266,High skill tech staff,Working,148500.0,Secondary / secondary special,House / apartment,0,1,Married,1,3,-55,0,0,0,0
5105991,1,36.50725203118476,0,7.745538922770488,Laborers,Working,90000.0,Secondary / secondary special,Municipal apartment,0,0,Married,0,2,-15,1,1,0,0
5091715,0,26.738399830249765,0,7.381397290841017,Sales staff,Working,157500.0,Higher education,House / apartment,1,1,Married,1,3,-23,1,0,0,0
5053194,0,42.51148209751056,0,10.38214337050042,Accountants,Working,315000.0,Higher education,House / apartment,0,1,Married,0,2,-44,1,1,0,0
5090578,0,43.36844699069796,0,5.021321450816923,Sales staff,Working,157500.0,Secondary / secondary special,House / apartment,1,1,Married,0,2,-17,0,0,0,0
5025950,0,37.016502734484625,0,15.02563365435293,Core staff,Working,130500.0,Secondary / secondary special,House / apartment,0,1,Married,0,2,-45,0,0,0,0
5033969,0,39.54906671594899,0,6.132911695654257,Sales staff,Commercial associate,135000.0,Secondary / secondary special,House / apartment,0,1,Married,3,5,-14,0,0,0,0
5125661,0,50.73889265351102,0,10.037167087619869,Core staff,State servant,45000.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,-44,1,1,0,0
5029415,0,30.680985920313216,0,6.883098215569108,Core staff,State servant,315000.0,Secondary / secondary special,House / apartment,0,1,Civil marriage,1,3,-23,0,0,1,0
5067899,0,58.89511762732979,1,0.0,Other,Pensioner,270000.0,Secondary / secondary special,House / apartment,0,1,Married,0,2,-45,0,1,0,0
5148911,1,40.0720069542838,0,10.540941976905755,Other,Commercial associate,225000.0,Secondary / secondary special,House / apartment,1,0,Married,2,4,-33,0,0,0,0
5089847,0,45.189155150345314,0,5.097982847012601,Core staff,Commercial associate,225000.0,Secondary / secondary special,House / apartment,0,1,Civil marriage,1,3,-18,0,1,1,0
5149881,0,47.702553782760766,0,1.2922921072985756,Managers,Commercial associate,391500.0,Higher education,House / apartment,1,1,Married,1,3,-16,0,1,0,0
5091761,0,41.61071069221134,0,3.715339808483405,Laborers,Commercial associate,157500.0,Secondary / secondary special,House / apartment,0,0,Civil marriage,0,2,-24,0,0,0,0
5116567,0,29.145020089392663,0,10.590224303031547,Sales staff,Working,180000.0,Secondary / secondary special,House / apartment,0,1,Married,1,3,-44,1,1,0,0
5025876,0,32.9014285029809,0,0.5256781453417935,Sales staff,Working,135000.0,Secondary / secondary special,House / apartment,0,1,Married,1,3,-49,0,0,0,0
5041825,0,47.56292052540435,0,2.6776730528347605,Sales staff,Working,112500.0,Secondary / secondary special,Municipal apartment,1,0,Married,0,2,-34,0,1,0,0
5010208,0,37.68455204418982,0,10.940676399926076,Core staff,Commercial associate,135000.0,Higher education,House / apartment,0,1,Married,0,2,-12,0,0,1,0
5148624,0,62.50367906254064,1,0.0,Other,Pensioner,99000.0,Secondary / secondary special,House / apartment,0,1,Single / not married,0,1,-22,0,0,0,0
5096373,0,40.414245330157364,0,10.17953825198327,HR staff,Working,207000.0,Higher education,House / apartment,1,0,Married,0,2,-22,1,1,0,0
5054536,0,43.22333791932757,0,5.990540531290854,Accountants,Working,189000.0,Secondary / secondary special,House / apartment,0,1,Married,0,2,-59,1,0,0,0
5010039,0,59.08950902482597,1,0.0,Other,Pensioner,292500.0,Secondary / secondary special,House / apartment,0,1,Civil marriage,0,2,-16,0,0,0,0
5029401,0,52.362471508655204,1,0.0,Other,Pensioner,112500.0,Secondary / secondary special,House / apartment,0,0,Married,0,2,-52,0,0,0,0
5111157,0,29.153233810413628,0,3.813904460734991,Core staff,Working,81000.0,Higher education,House / apartment,1,1,Married,1,3,-42,1,1,0,0
5048458,0,25.8485800529785,0,0.4298514000971957,Other,Working,126000.0,Higher education,House / apartment,1,1,Married,1,3,-31,0,0,0,0
5092275,0,42.57992977268527,0,15.296686448044792,Laborers,Working,360000.0,Secondary / secondary special,House / apartment,0,1,Married,0,2,-58,1,1,0,0
5090131,0,29.709028932832297,0,0.4490167491461152,Sales staff,Commercial associate,225000.0,Higher education,House / apartment,1,1,Civil marriage,0,2,-22,1,1,0,0
5065444,0,36.29917109865363,0,6.297186116073568,Managers,Working,270000.0,Secondary / secondary special,With parents,1,0,Married,2,4,-30,0,0,0,0
5087881,0,60.143603222516546,0,14.278185041445067,Core staff,State servant,234000.0,Higher education,House / apartment,0,0,Civil marriage,0,2,-50,0,0,1,0
5045654,0,40.66887068180729,0,6.71334798113582,Other,Working,157500.0,Secondary / secondary special,House / apartment,1,1,Married,0,2,-6,0,1,0,0
5112850,0,33.325804089064114,0,4.602421678747681,Managers,Working,180000.0,Secondary / secondary special,House / apartment,1,1,Married,0,2,-22,0,0,1,0
5058365,0,58.79929088208519,1,0.0,Other,Pensioner,108000.0,Secondary / secondary special,House / apartment,0,1,Separated,0,1,-9,0,0,0,0
5058521,0,39.932373696927385,0,9.308883823760926,Laborers,Commercial associate,405000.0,Secondary / secondary special,With parents,0,1,Married,0,2,-55,1,1,0,0
5062211,0,47.836711226103205,0,3.290964222400186,Other,Commercial associate,112500.0,Higher education,House / apartment,0,1,Married,0,2,-12,1,1,0,0
5021462,0,31.488668487374827,0,2.012361650136553,Core staff,Working,225000.0,Higher education,House / apartment,1,0,Civil marriage,1,3,-14,0,0,0,0
5132564,0,40.88790324236637,0,3.696174459434485,Sales staff,Commercial associate,112500.0,Secondary / secondary special,House / apartment,0,1,Civil marriage,1,3,-16,0,1,0,0
5053466,1,50.69508614139921,0,5.829004017878533,Low-skill Laborers,Working,112500.0,Secondary / secondary special,House / apartment,0,1,Married,0,2,-40,1,1,0,0
5010892,0,65.04719467203296,1,0.0,Other,Pensioner,157500.0,Secondary / secondary special,House / apartment,0,1,Married,0,2,-18,0,0,1,0
5116999,0,59.11415018788887,1,0.0,Other,Pensioner,112500.0,Secondary / secondary special,House / apartment,0,1,Civil marriage,0,2,-28,0,0,1,0
